"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id","cid"
"2022-07-19 11:35:59+02","2022-07-19 11:40:13+02",76234,1658223359,1658223613,254,300.13385826771656,9164331374210240.0,9164585029502114.0,17.869509667602426,25.74,2.73,5.573920202762325,31.068586426762003,28499,0,0,76234,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 23:17:52+02","2022-07-19 23:23:12+02",17480,1658265472,1658265792,320,54.625,9206443918391142.0,9206764299287328.0,17.45997482837525,25.37,6.99,4.15632306622072,17.27502143079841,0,0,0,17480,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 23:28:11+02","2022-07-19 23:28:19+02",224,1658266091,1658266099,8,28,9207058390246552.0,9207065956530784.0,7.163794642857142,7.45,6.7,0.15124112179511512,0.02287387692184484,19382,0,0,224,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5","client-10000000-0-0-24-0-0-6399"
"2022-07-19 10:53:24+02","2022-07-19 10:58:33+02",30039,1658220804,1658221113,309,97.2135922330097,9161770516446744.0,9162080073030052.0,1.2470361862911503,10.52,0.55,0.4859694336282709,0.23616629042098236,74,0,0,30039,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-10000000-0-0-24-0-0-6399"
"2022-07-24 14:01:44+02","2022-07-24 14:07:15+02",1400,1658664104,1658664435,331,4.229607250755287,9605071257576974.0,9605401829291180.0,208.40091428571577,325.07,107.64,67.95002504958029,4617.205904238589,60233,0,0,1400,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-10000000-0-0-24-0-0-6399"
"2022-07-19 10:31:05+02","2022-07-19 10:36:05+02",15039,1658219465,1658219765,300,50.13,9160437062978452.0,9160737161496384.0,0.37304741006715897,0.64,0.11,0.1441636286601992,0.0207831518284758,26,0,0,15039,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 10:53:24+02","2022-07-19 10:58:33+02",30038,1658220804,1658221113,309,97.21035598705501,9161775502090548.0,9162085053339756.0,1.2505060257007716,10.52,0.54,0.47995667329820274,0.2303584082434777,76,0,0,30038,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-20000000-1-25-49-1-6400-12799"
"2022-07-18 19:44:30+02","2022-07-18 19:48:06+02",8300,1658166270,1658166486,216,38.425925925925924,9107237218698662.0,9107453131150580.0,12.57179036144581,24.91,3.58,5.133099029894945,26.34870565070842,8399,0,0,8300,1,"4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-50-bi-5-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
"2022-07-19 11:49:58+02","2022-07-19 11:55:28+02",112754,1658224198,1658224528,330,341.6787878787879,9165169808718800.0,9165499860767726.0,44.52245844936776,68.76,3.12,19.435993894051073,377.7578586495906,7613,0,0,112754,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 19:26:24+02","2022-07-19 19:29:39+02",14675,1658251584,1658251779,195,75.25641025641026,9192550701101704.0,9192746137839672.0,21.85930153321981,33.99,8.07,5.538806899383638,30.678381868659784,12793,0,0,14675,1,"4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10","client-30000000-2-50-74-2-12800-19199"
"2022-07-23 19:29:17+02","2022-07-23 19:34:23+02",1600,1658597357,1658597663,306,5.228758169934641,9538329171247232.0,9538634869608872.0,218.34883749999955,302.95,144.38,51.21008721232353,2622.473032293782,120069,0,0,1600,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-10-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-20000000-1-25-49-1-6400-12799"
"2022-07-23 18:34:55+02","2022-07-23 18:40:22+02",1800,1658594095,1658594422,327,5.504587155963303,9535067010708200.0,9535393679680966.0,236.1765777777738,323.42,150.49,60.85807357760394,3703.7051195770546,119839,0,0,1800,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-9-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-20000000-1-25-49-1-6400-12799"
"2022-07-23 18:34:55+02","2022-07-23 18:40:22+02",1800,1658594095,1658594422,327,5.504587155963303,9535062071518884.0,9535388919020076.0,232.65978888888847,323.6,140.57,60.3593329725158,3643.2490768870334,119867,0,0,1800,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-9-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 23:28:11+02","2022-07-19 23:28:33+02",418,1658266091,1658266113,22,19,9207063395151344.0,9207084577874592.0,20.48667464114834,21.07,20.01,0.2938599388687293,0.08635366367193331,19366,0,0,418,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5","client-20000000-1-25-49-1-6400-12799"
"2022-07-24 11:10:18+02","2022-07-24 11:15:32+02",1300,1658653818,1658654132,314,4.140127388535032,9594785192899752.0,9595098836259204.0,195.37432307692532,308.64,109.87,61.813787069130335,3820.944271827784,60335,0,0,1300,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 12:19:40+02","2022-07-19 12:24:50+02",30047,1658225980,1658226290,310,96.9258064516129,9166947375307148.0,9167256898519732.0,4.525370586081818,10.51,1.85,1.4509005534195223,2.105112415913076,67,0,0,30047,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-10000000-0-0-24-0-0-6399"
"2022-07-23 13:47:14+02","2022-07-23 13:52:43+02",2500,1658576834,1658577163,329,7.598784194528875,9517805722699084.0,9518135139762058.0,195.41846400000128,318.41,89.63,67.49990301625309,4556.236907203572,59176,0,0,2500,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-5","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 12:27:38+02","2022-07-19 12:32:47+02",30048,1658226458,1658226767,309,97.24271844660194,9167429594479724.0,9167739054691536.0,4.074020899893534,10.43,1.36,1.449381258920408,2.1007060337097068,66,0,0,30048,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 12:19:40+02","2022-07-19 12:24:50+02",30047,1658225980,1658226290,310,96.9258064516129,9166952371584112.0,9167261887889840.0,4.511675708057357,10.51,1.86,1.4513373997420067,2.1063802478898896,66,0,0,30047,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 21:48:02+02","2022-07-19 21:53:19+02",18256,1658260082,1658260399,317,57.58990536277602,9201049133165978.0,9201365949505940.0,15.032377848378651,22.86,7.17,4.049020069238443,16.394563521095684,0,0,0,18256,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5","client-30000000-2-50-74-2-12800-19199"
"2022-07-23 15:54:48+02","2022-07-23 16:00:11+02",1600,1658584488,1658584811,323,4.953560371517028,9525459819521542.0,9525782721546140.0,235.04360000000088,320.37,152.3,61.535147750455664,3786.5744086704085,120009,0,0,1600,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-20000000-1-25-49-1-6400-12799"
"2022-07-23 13:07:26+02","2022-07-23 13:12:13+02",3700,1658574446,1658574733,287,12.89198606271777,9515413285953244.0,9515699550301368.0,166.44171891892108,269.26,7,65.75681092839946,4323.958183473274,57964,0,0,3700,1,"4000000-sawtoothConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-10000000-0-0-24-0-0-6399"
"2022-07-19 11:01:05+02","2022-07-19 11:06:15+02",30040,1658221265,1658221575,310,96.90322580645162,9162232296169706.0,9162541817917968.0,1.1638944740346164,10.48,0.46,0.4873277965467204,0.23748838128708175,75,0,0,30040,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-10000000-0-0-24-0-0-6399"
"2022-07-18 22:31:48+02","2022-07-18 22:33:07+02",10000,1658176308,1658176387,79,126.58227848101266,9117274947510896.0,9117353535356224.0,49.25443000000075,76.13,11.52,15.20517982808687,231.19749360445985,26599,0,0,10000,1,"4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-10-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
"2022-07-23 15:33:06+02","2022-07-23 15:38:37+02",2200,1658583186,1658583517,331,6.646525679758308,9524153217611264.0,9524484160069824.0,227.94440909090787,326.69,133.69,66.50705340373607,4423.1881524474,119545,0,0,2200,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-30000000-2-50-74-2-12800-19199"
"2022-07-18 16:16:01+02","2022-07-18 16:21:03+02",3026,1658153761,1658154063,302,10.019867549668874,9094732947701108.0,9095034637214926.0,0.37835095836087557,5.45,0.14,0.6610339687655172,0.4369659078618908,0,0,0,3026,1,"4000000-cordaConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10","client-40000000-3-75-99-3-19200-25599"
"2022-07-23 14:48:33+02","2022-07-23 14:54:03+02",1600,1658580513,1658580843,330,4.848484848484849,9521484972427068.0,9521815225210754.0,236.98105624999778,327.74,161.04,59.14934238444416,3498.6447045122027,120095,0,0,1600,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-20000000-1-25-49-1-6400-12799"
"2022-07-23 18:34:55+02","2022-07-23 18:40:22+02",1600,1658594095,1658594422,327,4.892966360856269,9535062030504632.0,9535389128510850.0,231.6400500000022,324.58,108.71,65.43502312240282,4281.742251029393,120022,0,0,1600,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-9-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-10000000-0-0-24-0-0-6399"
"2022-07-23 15:33:06+02","2022-07-23 15:38:29+02",1900,1658583186,1658583509,323,5.882352941176471,9524158351775266.0,9524480701663332.0,228.5807315789466,318.85,133.76,62.69517164583276,3930.684547700432,119784,0,0,1900,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 12:27:38+02","2022-07-19 12:32:47+02",30051,1658226458,1658226767,309,97.25242718446601,9167424609117898.0,9167734087243232.0,4.299447605736913,10.42,1.49,1.4478558871282798,2.096286669892018,63,0,0,30051,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 11:01:05+02","2022-07-19 11:06:15+02",30039,1658221265,1658221575,310,96.9,9162237285692410.0,9162546813773882.0,1.174745164619335,10.48,0.45,0.48400787206637735,0.23426362022222272,76,0,0,30039,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-20000000-1-25-49-1-6400-12799"
"2022-07-24 10:38:09+02","2022-07-24 10:43:27+02",2200,1658651889,1658652207,318,6.918238993710692,9592860919203970.0,9593179049510134.0,199.44921818181854,308.63,89.13,73.6178461198673,5419.587267328459,59467,0,0,2200,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 10:53:24+02","2022-07-19 10:58:33+02",30037,1658220804,1658221113,309,97.20711974110033,9161775511213384.0,9162085067284472.0,1.2464573692445984,10.53,0.54,0.4859107872201923,0.23610929313694703,74,0,0,30037,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 11:24:56+02","2022-07-19 11:30:26+02",73382,1658222696,1658223026,330,222.36969696969697,9163667869482724.0,9163998158036856.0,40.25874056308059,72.17,3.17,19.241880821179155,370.2499775364622,6836,0,0,73382,1,"4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000","client-20000000-1-25-49-1-6400-12799"
"2022-07-18 17:34:01+02","2022-07-18 17:39:03+02",3026,1658158441,1658158743,302,10.019867549668874,9099407760565120.0,9099709454771300.0,0.3717812293456726,4.12,0.14,0.572158591888944,0.32736545427233926,0,0,0,3026,1,"4000000-cordaConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-cordaenterprise-rl-10","client-30000000-2-50-74-2-12800-19199"
"2022-07-23 13:47:14+02","2022-07-23 13:52:43+02",2500,1658576834,1658577163,329,7.598784194528875,9517800493275696.0,9518130407619410.0,190.20823600000222,318.93,5.44,79.49642198395868,6319.681108251629,59197,0,0,2500,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-5","client-10000000-0-0-24-0-0-6399"
"2022-07-18 19:33:28+02","2022-07-18 19:36:57+02",9499,1658165608,1658165817,209,45.44976076555024,9106574873722540.0,9106783545280612.0,14.317240762185243,46.53,1.72,9.71748793466759,94.42957176041018,6401,0,0,9499,1,"4000000-grapheneConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-graphene-rl-50-bi-5-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
"2022-07-18 21:33:53+02","2022-07-18 21:35:10+02",7600,1658172833,1658172910,77,98.7012987012987,9113799453065262.0,9113876533520112.0,13.241639473683815,29.83,2.5,5.841924115814804,34.12807737493858,21200,0,0,7600,1,"4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
"2022-07-19 11:49:58+02","2022-07-19 11:55:17+02",63042,1658224198,1658224517,319,197.62382445141066,9165169821746008.0,9165488890384294.0,2.9585922083690006,28.86,1.47,1.0177386377399142,1.0357919347486966,5023,0,0,63042,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 10:16:29+02","2022-07-19 10:21:39+02",15036,1658218589,1658218899,310,48.50322580645161,9159561038653916.0,9159871207028328.0,0.3905759510508125,10.11,0.13,0.3091456857576065,0.09557105502254076,0,0,0,15036,1,"4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 10:23:24+02","2022-07-19 10:28:24+02",15038,1658219004,1658219304,300,50.126666666666665,9159970609245760.0,9160270742494484.0,0.39271911158398604,0.65,0.13,0.14382751716406,0.020686354693577973,27,0,0,15038,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100","client-10000000-0-0-24-0-0-6399"
"2022-07-23 16:15:42+02","2022-07-23 16:20:52+02",1100,1658585742,1658586052,310,3.5483870967741935,9526708813608400.0,9527018726553608.0,244.14357272727247,308.65,183.29,45.32380514969661,2054.2473132476653,120455,0,0,1100,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-8-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-10000000-0-0-24-0-0-6399"
"2022-07-19 21:00:11+02","2022-07-19 21:05:28+02",17758,1658257211,1658257528,317,56.018927444794954,9198178201014330.0,9198494601978508.0,15.528861921387556,23.46,7.69,4.087987932936425,16.711645339833826,0,0,0,17758,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5","client-30000000-2-50-74-2-12800-19199"
"2022-07-18 20:40:25+02","2022-07-18 20:40:50+02",10000,1658169625,1658169650,25,400,9110591775711254.0,9110616673030520.0,1.3064830000000622,2.33,0.32,0.5798201099021882,0.3361913598469856,11198,0,0,10000,1,"4000000-grapheneConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
"2022-07-19 18:00:35+02","2022-07-19 18:05:52+02",30112,1658246435,1658246752,317,94.99053627760253,9187407414020580.0,9187724348458864.0,15.469409537725912,25.69,3.83,4.8129748500447125,23.164726907162926,0,0,0,30112,1,"4000000-quorumConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 23:28:11+02","2022-07-19 23:28:19+02",243,1658266091,1658266099,8,30.375,9207058391403940.0,9207066206295176.0,7.401481481481482,7.71,7.2,0.12873296511981683,0.01657217630853998,19114,0,0,243,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5","client-30000000-2-50-74-2-12800-19199"
"2022-07-24 10:38:09+02","2022-07-24 10:43:35+02",1600,1658651889,1658652215,326,4.9079754601226995,9592855832213448.0,9593181562159584.0,201.86410000000126,319.72,89.24,75.5088336241998,5701.583955287087,60018,0,0,1600,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 21:48:02+02","2022-07-19 21:53:09+02",18080,1658260082,1658260389,307,58.89250814332247,9201049148570080.0,9201356361307108.0,14.880390486725732,23.04,5.67,4.495621891008071,20.210616186910983,0,0,0,18080,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5","client-10000000-0-0-24-0-0-6399"
"2022-07-19 18:31:57+02","2022-07-19 18:32:13+02",145,1658248317,1658248333,16,9.0625,9189288751710488.0,9189304795806250.0,15.737310344827579,15.96,15.57,0.11362862983087213,0.012911465517241365,23286,0,0,145,1,"4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-1","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 19:26:24+02","2022-07-19 19:29:30+02",13472,1658251584,1658251770,186,72.43010752688173,9192555684106918.0,9192742223612848.0,23.283058194774263,35.32,8.67,5.602824074240324,31.391637606886942,13744,0,0,13472,1,"4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10","client-40000000-3-75-99-3-19200-25599"
"2022-07-24 14:01:44+02","2022-07-24 14:06:59+02",2300,1658664104,1658664419,315,7.301587301587301,9605076195287584.0,9605390506263636.0,198.26980000000182,304.8,88.74,75.91086365665728,5762.459221099612,59332,0,0,2300,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-40000000-3-75-99-3-19200-25599"
"2022-07-23 20:39:24+02","2022-07-23 20:44:53+02",1600,1658601564,1658601893,329,4.86322188449848,9542530545322560.0,9542860331302252.0,205.87156249999845,323.29,100.35,77.00978007662864,5930.506227450711,60093,0,0,1600,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 12:12:39+02","2022-07-19 12:17:49+02",30048,1658225559,1658225869,310,96.92903225806451,9166531308186622.0,9166841187392040.0,4.215383386581492,10.23,1.51,1.450560164421866,2.104124790607591,0,0,0,30048,1,"4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 18:00:35+02","2022-07-19 18:05:54+02",30111,1658246435,1658246754,319,94.39184952978056,9187402437453684.0,9187720688616802.0,16.452662482149336,26.72,4.89,4.816919983608715,23.202718128488982,0,0,0,30111,1,"4000000-quorumConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 10:16:29+02","2022-07-19 10:21:39+02",15039,1658218589,1658218899,310,48.512903225806454,9159561045838728.0,9159871202237148.0,0.3805698517188618,10.1,0.11,0.3092454442745216,0.09563274480454625,0,0,0,15039,1,"4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100","client-40000000-3-75-99-3-19200-25599"
"2022-07-20 09:50:43+02","2022-07-20 09:55:34+02",17477,1658303443,1658303734,291,60.05841924398626,9244414618663048.0,9244705662819756.0,15.84382617153968,23.62,5.46,4.248791948215538,18.052233019221184,3032,0,0,17477,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5","client-20000000-1-25-49-1-6400-12799"
"2022-07-23 14:48:33+02","2022-07-23 14:53:56+02",1800,1658580513,1658580836,323,5.572755417956657,9521479886751920.0,9521803289126912.0,234.17086111111195,320.65,141.06,61.268482124295105,3753.826901815069,119897,0,0,1800,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-30000000-2-50-74-2-12800-19199"
"2022-07-24 10:38:09+02","2022-07-24 10:43:11+02",1200,1658651889,1658652191,302,3.9735099337748343,9592860889933264.0,9593162701183448.0,175.60322500000012,297.31,6.79,87.75530405816691,7700.9933903413275,60405,0,0,1200,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 10:45:54+02","2022-07-19 10:51:04+02",30039,1658220354,1658220664,310,96.9,9161325937443496.0,9161635894389580.0,1.1347025533473096,10.19,0.45,0.4783944185490169,0.22886121969885193,0,0,0,30039,1,"4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 21:48:02+02","2022-07-19 21:53:09+02",17830,1658260082,1658260389,307,58.07817589576547,9201054152445552.0,9201360553083808.0,14.01395120583293,22.01,4.93,4.475297478026368,20.028287516829174,0,0,0,17830,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5","client-40000000-3-75-99-3-19200-25599"
